Message ID,Message Text
1381303,"Intergalactic_ADA_rewards has nice rewards, im investing"
1381302,"**Are YOU joining our journey to the Milkyway?** 🌌 

🔒LIQUIDITY LOCKED FOR 6 MONTHS🔒

Buy tax 12% 
 ⁃ 3% marketing 
 ⁃ 3% Liquidity Pool
 ⁃ 6% rewards 

Sell tax 22%
 ⁃ 6% marketing 
 ⁃ 4% Liquidity Pool
 ⁃ 12% rewards

PRIVATE SALE WILL OPEN BEFORE FRIDAY! 👩‍🚀🙌

**Chat: @ Intergalactic_ADA_rewards**"
1381300,"a healthy dip I think. the bull cycle is coming soon this Q4, the next DeFi wave will happen.
I am sure a sustainable DeFI project like YFDAI will rise. It's potential to reach the ATH again."
1381297,"**Are YOU joining our journey to the Milkyway?** 🌌 

🔒LIQUIDITY LOCKED FOR 6 MONTHS🔒

Buy tax 12% 
 ⁃ 3% marketing 
 ⁃ 3% Liquidity Pool
 ⁃ 6% rewards 

Sell tax 22%
 ⁃ 6% marketing 
 ⁃ 4% Liquidity Pool
 ⁃ 12% rewards

PRIVATE SALE WILL OPEN BEFORE FRIDAY! 👩‍🚀🙌

**Chat: @ Intergalactic_ADA_rewards**"
1381296,"[**YfDAI.finance](https://www.coingecko.com/en/coins/yfdai-finance)** **- [$YF-DAI**](https://twitter.com/search?q=%24YF-DAI) [1604]
💰 Price [USD]: $777.56
⚖ H: $843.23 | L: $774.63
⚡ Price [BTC]: 0.0142 ₿
✨ Price [ETH]: 0.217 Ξ
📉 1h: -0.66%
📉 24h: -3.35%
📉 7d: -1.79%
📊 Volume: $990,089
💎 MarketCap: $3,163,155

[BTC about to make a move! ⚠](https://bit.ly/3gD9DTi)"
1381294,"**Are YOU joining our journey to the Milkyway?** 🌌 

🔒LIQUIDITY LOCKED FOR 6 MONTHS🔒

Buy tax 12% 
 ⁃ 3% marketing 
 ⁃ 3% Liquidity Pool
 ⁃ 6% rewards 

Sell tax 22%
 ⁃ 6% marketing 
 ⁃ 4% Liquidity Pool
 ⁃ 12% rewards

PRIVATE SALE WILL OPEN BEFORE FRIDAY! 👩‍🚀🙌

**Chat: @ Intergalactic_ADA_rewards**"
1381293,"CORNDOGE🚀🚀🚀

STEALTH LAUNCHED NOW

10% DOGE REWARDS🐶
5% MARKETING
2% LP 
4% max wallet 
1% Max tx 
30 second cooldown

LP LOCKED 🔒 

@corn_doge"
1381292,"Intergalactic_ADA_rewards has nice rewards, im investing"
1381291,"hi mate sorry for the late reply. YFDAI price in a dip today. a small dip. IMO, a good entry before YFDAI launch KwikTrust."
1381290,"CORNDOGE🚀🚀🚀

STEALTH LAUNCHED NOW

10% DOGE REWARDS🐶
5% MARKETING
2% LP 
4% max wallet 
1% Max tx 
30 second cooldown

LP LOCKED 🔒 

@ corn_doge"
1381289,Great organic Community they got here
1381288,"**Are YOU joining our journey to the Milkyway?** 🌌 

🔒LIQUIDITY LOCKED FOR 6 MONTHS🔒

Buy tax 12% 
 ⁃ 3% marketing 
 ⁃ 3% Liquidity Pool
 ⁃ 6% rewards 

Sell tax 22%
 ⁃ 6% marketing 
 ⁃ 4% Liquidity Pool
 ⁃ 12% rewards

PRIVATE SALE WILL OPEN BEFORE FRIDAY! 👩‍🚀🙌

**Chat: @ Intergalactic_ADA_rewards**"
1381287,Looks like the market is still bullish ATM
1381286,"**Are YOU joining our journey to the Milkyway?** 🌌 

🔒LIQUIDITY LOCKED FOR 6 MONTHS🔒

Buy tax 12% 
 ⁃ 3% marketing 
 ⁃ 3% Liquidity Pool
 ⁃ 6% rewards 

Sell tax 22%
 ⁃ 6% marketing 
 ⁃ 4% Liquidity Pool
 ⁃ 12% rewards

PRIVATE SALE WILL OPEN BEFORE FRIDAY! 👩‍🚀🙌

**Chat: @ Intergalactic_ADA_rewards**"
1381280,"CORNDOGE🚀🚀🚀

STEALTH LAUNCHED NOW

10% DOGE REWARDS🐶
5% MARKETING
2% LP 
4% max wallet 
1% Max tx 
30 second cooldown

LP LOCKED 🔒 

@ corn_doge"
1381279,"**Are YOU joining our journey to the Milkyway?** 🌌 

🔒LIQUIDITY LOCKED FOR 6 MONTHS🔒

Buy tax 12% 
 ⁃ 3% marketing 
 ⁃ 3% Liquidity Pool
 ⁃ 6% rewards 

Sell tax 22%
 ⁃ 6% marketing 
 ⁃ 4% Liquidity Pool
 ⁃ 12% rewards

PRIVATE SALE WILL OPEN BEFORE FRIDAY! 👩‍🚀🙌

**Chat: @ Intergalactic_ADA_rewards**"
1381276,"**Are YOU joining our journey to the Milkyway?** 🌌 

🔒LIQUIDITY LOCKED FOR 6 MONTHS🔒

Buy tax 12% 
 ⁃ 3% marketing 
 ⁃ 3% Liquidity Pool
 ⁃ 6% rewards 

Sell tax 22%
 ⁃ 6% marketing 
 ⁃ 4% Liquidity Pool
 ⁃ 12% rewards

PRIVATE SALE WILL OPEN BEFORE FRIDAY! 👩‍🚀🙌

**Chat: @ Intergalactic_ADA_rewards**"
1381275,"Shibu total coin : 1,000,000,000,000,000

Never buy any coin in such a huge max supply

Number of coin as much as high, dumping risk also high.

Please guide other people"
1381273,NICO ROBIN
1381272,Dev based with great team
1381271,Check OFFICIAL FLOKI FRUNK PUPPY guys . This coin will be RISE ABOVE ALL and have a STRONG COMMUNITY 🔥‼️ FINANCIAL FREEDOM INCOMING WHEN YOU APE HERE AND HOLD!💸
1381269,Check official floki frunk puppy!!! Don't miss this chance!
1381267,Looking for GOOD investment?? OFFICIAL FLOKI is the one!! check this out now!! Your money is 100 % safe here‼️
1381264,"**Are YOU joining our journey to the Milkyway?** 🌌 

🔒LIQUIDITY LOCKED FOR 6 MONTHS🔒

Buy tax 12% 
 ⁃ 3% marketing 
 ⁃ 3% Liquidity Pool
 ⁃ 6% rewards 

Sell tax 22%
 ⁃ 6% marketing 
 ⁃ 4% Liquidity Pool
 ⁃ 12% rewards

PRIVATE SALE WILL OPEN BEFORE FRIDAY! 👩‍🚀🙌

**Chat: @ Intergalactic_ADA_rewards**"
1381260,"**Are YOU joining our journey to the Milkyway?** 🌌 

🔒LIQUIDITY LOCKED FOR 6 MONTHS🔒

Buy tax 12% 
 ⁃ 3% marketing 
 ⁃ 3% Liquidity Pool
 ⁃ 6% rewards 

Sell tax 22%
 ⁃ 6% marketing 
 ⁃ 4% Liquidity Pool
 ⁃ 12% rewards

PRIVATE SALE WILL OPEN BEFORE FRIDAY! 👩‍🚀🙌

**Chat: @ Intergalactic_ADA_rewards**"
1381259,Yoooo join Bebop inu and participate in the 1 ETH (YES 1 ETH!) lottery giveaway. I’ve been shilling this since ROR member maythous took over and it’s on a great entry
1381258,"**Are YOU joining our journey to the Milkyway?** 🌌 

🔒LIQUIDITY LOCKED FOR 6 MONTHS🔒

Buy tax 12% 
 ⁃ 3% marketing 
 ⁃ 3% Liquidity Pool
 ⁃ 6% rewards 

Sell tax 22%
 ⁃ 6% marketing 
 ⁃ 4% Liquidity Pool
 ⁃ 12% rewards

PRIVATE SALE WILL OPEN BEFORE FRIDAY! 👩‍🚀🙌

**Chat: @ Intergalactic_ADA_rewards**"
1381253,"**Are YOU joining our journey to the Milkyway?** 🌌 

🔒LIQUIDITY LOCKED FOR 6 MONTHS🔒

Buy tax 12% 
 ⁃ 3% marketing 
 ⁃ 3% Liquidity Pool
 ⁃ 6% rewards 

Sell tax 22%
 ⁃ 6% marketing 
 ⁃ 4% Liquidity Pool
 ⁃ 12% rewards

PRIVATE SALE WILL OPEN BEFORE FRIDAY! 👩‍🚀🙌

**Chat: @ Intergalactic_ADA_rewards**"
1381252,Intergalactic_ADA_rewards is very hype rn
1381251,"**Are YOU joining our journey to the Milkyway?** 🌌 

🔒LIQUIDITY LOCKED FOR 6 MONTHS🔒

Buy tax 12% 
 ⁃ 3% marketing 
 ⁃ 3% Liquidity Pool
 ⁃ 6% rewards 

Sell tax 22%
 ⁃ 6% marketing 
 ⁃ 4% Liquidity Pool
 ⁃ 12% rewards

PRIVATE SALE WILL OPEN BEFORE FRIDAY! 👩‍🚀🙌

**Chat: @ Intergalactic_ADA_rewards**"
1381248,"**Are YOU joining our journey to the Milkyway?** 🌌 

🔒LIQUIDITY LOCKED FOR 6 MONTHS🔒

Buy tax 12% 
 ⁃ 3% marketing 
 ⁃ 3% Liquidity Pool
 ⁃ 6% rewards 

Sell tax 22%
 ⁃ 6% marketing 
 ⁃ 4% Liquidity Pool
 ⁃ 12% rewards

PRIVATE SALE WILL OPEN BEFORE FRIDAY! 👩‍🚀🙌

**Chat: @ Intergalactic_ADA_rewards**"
1381246,"**Are YOU joining our journey to the Milkyway?** 🌌 

🔒LIQUIDITY LOCKED FOR 6 MONTHS🔒

Buy tax 12% 
 ⁃ 3% marketing 
 ⁃ 3% Liquidity Pool
 ⁃ 6% rewards 

Sell tax 22%
 ⁃ 6% marketing 
 ⁃ 4% Liquidity Pool
 ⁃ 12% rewards

PRIVATE SALE WILL OPEN BEFORE FRIDAY! 👩‍🚀🙌

**Chat: @ Intergalactic_ADA_rewards**"
1381245,Intergalactic_ADA_rewards is very hype rn
1381243,"**Are YOU joining our journey to the Milkyway?** 🌌 

🔒LIQUIDITY LOCKED FOR 6 MONTHS🔒

Buy tax 12% 
 ⁃ 3% marketing 
 ⁃ 3% Liquidity Pool
 ⁃ 6% rewards 

Sell tax 22%
 ⁃ 6% marketing 
 ⁃ 4% Liquidity Pool
 ⁃ 12% rewards

PRIVATE SALE WILL OPEN BEFORE FRIDAY! 👩‍🚀🙌

**Chat: @ Intergalactic_ADA_rewards**"
1381242,"**Are YOU joining our journey to the Milkyway?** 🌌 

🔒LIQUIDITY LOCKED FOR 6 MONTHS🔒

Buy tax 12% 
 ⁃ 3% marketing 
 ⁃ 3% Liquidity Pool
 ⁃ 6% rewards 

Sell tax 22%
 ⁃ 6% marketing 
 ⁃ 4% Liquidity Pool
 ⁃ 12% rewards

PRIVATE SALE WILL OPEN BEFORE FRIDAY! 👩‍🚀🙌

**Chat: @ Intergalactic_ADA_rewards**"
1381240,"Baby Soulja Boy has Smart Chain NFTs pegged to the token
BabySouljaBoy"
1381239,"Intergalactic_ADA_rewards has nice rewards, im investing"
1381236,"🚀 JUST STEALTH LAUNCH in 20 Minutes

LOW MC❕/ LQ LOCKED / ANTI-WHALE SYSTEM AND ANTI-SNIPERS🚫 / 8% Rewards $DOGE ❤️ / Website 🔜/🦜Twitter

Join:  @WizardFloki"
1381234,"**Are YOU joining our journey to the Milkyway?** 🌌 

🔒LIQUIDITY LOCKED FOR 6 MONTHS🔒

Buy tax 12% 
 ⁃ 3% marketing 
 ⁃ 3% Liquidity Pool
 ⁃ 6% rewards 

Sell tax 22%
 ⁃ 6% marketing 
 ⁃ 4% Liquidity Pool
 ⁃ 12% rewards

PRIVATE SALE WILL OPEN BEFORE FRIDAY! 👩‍🚀🙌

**Chat: @ Intergalactic_ADA_rewards**"
1381233,Looking for GOOD investment?? OFFICIAL FLOKI is the one!! check this out now!! Your money is 100 % safe here‼️
1381232,"**Are YOU joining our journey to the Milkyway?** 🌌 

🔒LIQUIDITY LOCKED FOR 6 MONTHS🔒

Buy tax 12% 
 ⁃ 3% marketing 
 ⁃ 3% Liquidity Pool
 ⁃ 6% rewards 

Sell tax 22%
 ⁃ 6% marketing 
 ⁃ 4% Liquidity Pool
 ⁃ 12% rewards

PRIVATE SALE WILL OPEN BEFORE FRIDAY! 👩‍🚀🙌

**Chat: @ Intergalactic_ADA_rewards**"
1381231,"**Are YOU joining our journey to the Milkyway?** 🌌 

🔒LIQUIDITY LOCKED FOR 6 MONTHS🔒

Buy tax 12% 
 ⁃ 3% marketing 
 ⁃ 3% Liquidity Pool
 ⁃ 6% rewards 

Sell tax 22%
 ⁃ 6% marketing 
 ⁃ 4% Liquidity Pool
 ⁃ 12% rewards

PRIVATE SALE WILL OPEN BEFORE FRIDAY! 👩‍🚀🙌

**Chat: @ Intergalactic_ADA_rewards**"
1381227,"**Are YOU joining our journey to the Milkyway?** 🌌 

🔒LIQUIDITY LOCKED FOR 6 MONTHS🔒

Buy tax 12% 
 ⁃ 3% marketing 
 ⁃ 3% Liquidity Pool
 ⁃ 6% rewards 

Sell tax 22%
 ⁃ 6% marketing 
 ⁃ 4% Liquidity Pool
 ⁃ 12% rewards

PRIVATE SALE WILL OPEN BEFORE FRIDAY! 👩‍🚀🙌

**Chat: @ Intergalactic_ADA_rewards**"
1381226,Intergalactic_ADA_rewards is very hype rn
1381225,"**Are YOU joining our journey to the Milkyway?** 🌌 

🔒LIQUIDITY LOCKED FOR 6 MONTHS🔒

Buy tax 12% 
 ⁃ 3% marketing 
 ⁃ 3% Liquidity Pool
 ⁃ 6% rewards 

Sell tax 22%
 ⁃ 6% marketing 
 ⁃ 4% Liquidity Pool
 ⁃ 12% rewards

PRIVATE SALE WILL OPEN BEFORE FRIDAY! 👩‍🚀🙌

**Chat: @ Intergalactic_ADA_rewards**"
1381221,"**Are YOU joining our journey to the Milkyway?** 🌌 

🔒LIQUIDITY LOCKED FOR 6 MONTHS🔒

Buy tax 12% 
 ⁃ 3% marketing 
 ⁃ 3% Liquidity Pool
 ⁃ 6% rewards 

Sell tax 22%
 ⁃ 6% marketing 
 ⁃ 4% Liquidity Pool
 ⁃ 12% rewards

PRIVATE SALE WILL OPEN BEFORE FRIDAY! 👩‍🚀🙌

**Chat: @ Intergalactic_ADA_rewards**"
1381220,If you want I could invite you to their group or search STACKOS
1381218,Yes and at a low cost also
1381217,"JUST STEALTH LAUNCHED In 1HOUR

LOW MC❕/ LQ LOCKED / ANTI-WHALE SYSTEM AND ANTI-SNIPERS🚫 / 8% Rewards $DOGE ❤️ / Website 🔜/🦜Twitter

Join now: @WizardFloki"
1381216,Intergalactic_ADA_rewards is very hype rn
1381215,"[In reply to ForeverBNB | BUSD Rewards]  
⏰ ForeverBNB STEALTH LAUNCH  
  
One of the first token with dividend yields in BUSD along with rebasing tokenomics.  
ForeverBNB is a simple concept combining the three trending mechanisms : Rebasing, dividends and buyback.  
  
🟢 Tokenomics 🟢  
  
- 7% $BUSD Rewards  
- 4% Marketing & Buyback  
- 2% Liquidity  
- 2% Development  
  
🥞 tele @TheForeverBNB  
Join referral bot for free token https://t.me/ForeverBNBBot"
1381212,"**Are YOU joining our journey to the Milkyway?** 🌌 

🔒LIQUIDITY LOCKED FOR 6 MONTHS🔒

Buy tax 12% 
 ⁃ 3% marketing 
 ⁃ 3% Liquidity Pool
 ⁃ 6% rewards 

Sell tax 22%
 ⁃ 6% marketing 
 ⁃ 4% Liquidity Pool
 ⁃ 12% rewards

PRIVATE SALE WILL OPEN BEFORE FRIDAY! 👩‍🚀🙌

**Chat: @ Intergalactic_ADA_rewards**"
1381211,woah its secured and anonymouos
1381210,"One touch app deployment
Decentralized
Zero/low cost maintenance fee 
Secured and decentralized
Reliable and accessible
Anonymous deployment service
Revenue sharing with stakeholders   ."
1381209,how about teh benefits of thsi STACKOS if I deploy an app?
1381208,"Safebull

0xfa344c08c93066a4d6266063c6ebc63925a18467

New tokenomics to be announced!!!!

Top gainer cmc"
1381207,Good. Thanks.
1381206,https://medium.com/@genesis-shards/bsc-staking-is-now-live-aaab64382649…
1381205,Details?
1381204,Stake on the new single-sided GS BSC Pool with >100% confirmed #APY
1381203,"If you are into staking, well bsc staking is now live on gs"
1381202,"No mate, it will still depends on the number of STACK you stake"
1381201,is that a fixed APY?
1381200,Any body have multiple telegram accounts?
1381199,And staking also offered which earn of upto 24.95% bsc and 27.40% eth
1381198,These STACK tokens are then converted to USDT when they are being sent to the Infrastructure Node and Beacon Node provides for payments
1381197,what are its use?
1381196,"**Are YOU joining our journey to the Milkyway?** 🌌 

🔒LIQUIDITY LOCKED FOR 6 MONTHS🔒

Buy tax 12% 
 ⁃ 3% marketing 
 ⁃ 3% Liquidity Pool
 ⁃ 6% rewards 

Sell tax 22%
 ⁃ 6% marketing 
 ⁃ 4% Liquidity Pool
 ⁃ 12% rewards

PRIVATE SALE WILL OPEN BEFORE FRIDAY! 👩‍🚀🙌

**Chat: @ Intergalactic_ADA_rewards**"
1381195,Buy in Pancakeswap and Uniswap
1381194,"**Are YOU joining our journey to the Milkyway?** 🌌 

🔒LIQUIDITY LOCKED FOR 6 MONTHS🔒

Buy tax 12% 
 ⁃ 3% marketing 
 ⁃ 3% Liquidity Pool
 ⁃ 6% rewards 

Sell tax 22%
 ⁃ 6% marketing 
 ⁃ 4% Liquidity Pool
 ⁃ 12% rewards

PRIVATE SALE WILL OPEN BEFORE FRIDAY! 👩‍🚀🙌

**Chat: @ Intergalactic_ADA_rewards**"
1381193,"It's available on uniswap, pancakeswap and gate io. You can check it too on cmc and coingecko"
1381192,and where can I buy ? is already listed ?
1381191,"It is StackOs, decentralized cloud which you could deploy an application in just minute"
1381190,So what's with Genesis as of now? Where can i buy token?
1381189,what is that ?
1381188,"**Are YOU joining our journey to the Milkyway?** 🌌 

🔒LIQUIDITY LOCKED FOR 6 MONTHS🔒

Buy tax 12% 
 ⁃ 3% marketing 
 ⁃ 3% Liquidity Pool
 ⁃ 6% rewards 

Sell tax 22%
 ⁃ 6% marketing 
 ⁃ 4% Liquidity Pool
 ⁃ 12% rewards

PRIVATE SALE WILL OPEN BEFORE FRIDAY! 👩‍🚀🙌

**Chat: @ Intergalactic_ADA_rewards**"
1381187,You may try STACK dear
1381185,do you havae any suggestion of what to invest now ?
1381184,That's brilliant.
1381183,"**Are YOU joining our journey to the Milkyway?** 🌌 

🔒LIQUIDITY LOCKED FOR 6 MONTHS🔒

Buy tax 12% 
 ⁃ 3% marketing 
 ⁃ 3% Liquidity Pool
 ⁃ 6% rewards 

Sell tax 22%
 ⁃ 6% marketing 
 ⁃ 4% Liquidity Pool
 ⁃ 12% rewards

PRIVATE SALE WILL OPEN BEFORE FRIDAY! 👩‍🚀🙌

**Chat: @ Intergalactic_ADA_rewards**"
1381182,"In fact, NFTs on Genesis Shards are given a superior layer of utility by transforming into liquidity vehicles for pre-IDO tokens."
1381181,"**Are YOU joining our journey to the Milkyway?** 🌌 

🔒LIQUIDITY LOCKED FOR 6 MONTHS🔒

Buy tax 12% 
 ⁃ 3% marketing 
 ⁃ 3% Liquidity Pool
 ⁃ 6% rewards 

Sell tax 22%
 ⁃ 6% marketing 
 ⁃ 4% Liquidity Pool
 ⁃ 12% rewards

PRIVATE SALE WILL OPEN BEFORE FRIDAY! 👩‍🚀🙌

**Chat: @ Intergalactic_ADA_rewards**"
1381180,"GS is offering an innovative value proposition and is bolstering a unique, one-of-a-kind model for NFTs in DeFi."
1381179,Yes.
1381178,As collectibles.
1381177,What's NFTs role om Genesis Shards ecosystem?
1381176,"Hmn, they're supporting NFTs?"
1381175,"⚡️BNB FINTECH⚡️- Presale filled in 7 minutes! 280k BUSD!!

Daily buy back from 2% of taxes!
Special burn week : 8th October to 14th October, ALL buy back tokens will be BURNED!
As seen on Yahoo Finance, MarketWatch, Benzinga, Business Insider
Co-founders are DOXXED
Solidproof AUDIT PASSED

The project runs the token BNB Cash ($BNBCH) on the BSC (BEP20) which focuses on being a utility token.

Future developments - $BNBCH's utility:
1. Crypto P2P marketplace.
2. Point-of-Sale application
3. BNB Cash Debit Card 
4. BNB Fintech Wallet (to link all 3 above functions together while doubling as a usual crypto wallet)
5. NFT Collection which will have its own utility

193,400,000 - TOTAL SUPPLY

📝 Taxes (4%) :
🔑 1% Redistribution 
🔑 2% Sent to LP 
🔑 1% Split 3 ways between development, marketing & team wallets

🔐 Liquidity secured and locked with Unicrypt for 1 year and extended thereafter.

📱Telegram: BNBCashOfficial
Daily voice chat + BNBCH token giveaway"
1381174,"**Are YOU joining our journey to the Milkyway?** 🌌 

🔒LIQUIDITY LOCKED FOR 6 MONTHS🔒

Buy tax 12% 
 ⁃ 3% marketing 
 ⁃ 3% Liquidity Pool
 ⁃ 6% rewards 

Sell tax 22%
 ⁃ 6% marketing 
 ⁃ 4% Liquidity Pool
 ⁃ 12% rewards

PRIVATE SALE WILL OPEN BEFORE FRIDAY! 👩‍🚀🙌

**Chat: @ Intergalactic_ADA_rewards**"
1381173,Transforming NFTs into a liquidity vehicle for Pre-IDO tokens and a whole new suite of DeFi products across multiple blockchains.
1381172,It's a new marketplace for Pre-IDO token on NFTs.
1381171,and they give auto reward in usdt and it goes straight to your Wallet instantly
1381170,it is a cex/dex Multi-chain IDO Launchpad mate
1381169,"Hmn, and that is?"
1381168,Intergalactic_ADA_rewards seems like it could be that 10x
1381167,"**Are YOU joining our journey to the Milkyway?** 🌌 

🔒LIQUIDITY LOCKED FOR 6 MONTHS🔒

Buy tax 12% 
 ⁃ 3% marketing 
 ⁃ 3% Liquidity Pool
 ⁃ 6% rewards 

Sell tax 22%
 ⁃ 6% marketing 
 ⁃ 4% Liquidity Pool
 ⁃ 12% rewards

PRIVATE SALE WILL OPEN BEFORE FRIDAY! 👩‍🚀🙌

**Chat: @ Intergalactic_ADA_rewards**"
1381166,No. Never heard it
1381165,"**Are YOU joining our journey to the Milkyway?** 🌌 

🔒LIQUIDITY LOCKED FOR 6 MONTHS🔒

Buy tax 12% 
 ⁃ 3% marketing 
 ⁃ 3% Liquidity Pool
 ⁃ 6% rewards 

Sell tax 22%
 ⁃ 6% marketing 
 ⁃ 4% Liquidity Pool
 ⁃ 12% rewards

PRIVATE SALE WILL OPEN BEFORE FRIDAY! 👩‍🚀🙌

**Chat: @ Intergalactic_ADA_rewards**"
1381164,What's that?
1381162,have you checked coinxpad?
1381161,yes a lot of  nft game is popping
1381160,Check on $GS.
1381159,Like?
1381158,yeahh but i have checked some tho and I think it was interesting but still finding more
1381157,But i heard a lot about those p2e games.
1381156,are you into passive incomes?
1381155,Same. I haven't buy yet.
1381154,"**Are YOU joining our journey to the Milkyway?** 🌌 

🔒LIQUIDITY LOCKED FOR 6 MONTHS🔒

Buy tax 12% 
 ⁃ 3% marketing 
 ⁃ 3% Liquidity Pool
 ⁃ 6% rewards 

Sell tax 22%
 ⁃ 6% marketing 
 ⁃ 4% Liquidity Pool
 ⁃ 12% rewards

PRIVATE SALE WILL OPEN BEFORE FRIDAY! 👩‍🚀🙌

**Chat: @ Intergalactic_ADA_rewards**"
1381153,Any good and potential project here?
1381151,im new to nft gaming and I want to buy
1381150,Hey what's are you guys upto?
1381149,Why?
1381148,"⚡️BNB FINTECH⚡️- Presale filled in 7 minutes! 280k BUSD!!

Daily buy back from 2% of taxes!
Special burn week : 8th October to 14th October, ALL buy back tokens will be BURNED!
As seen on Yahoo Finance, MarketWatch, Benzinga, Business Insider
Co-founders are DOXXED
Solidproof AUDIT PASSED

193,400,000 - TOTAL SUPPLY

🔐 Liquidity secured and locked with Unicrypt for 1 year and extended thereafter.

📱Telegram: BNBCashOfficial"
1381146,"**Are YOU joining our journey to the Milkyway?** 🌌 

🔒LIQUIDITY LOCKED FOR 6 MONTHS🔒

Buy tax 12% 
 ⁃ 3% marketing 
 ⁃ 3% Liquidity Pool
 ⁃ 6% rewards 

Sell tax 22%
 ⁃ 6% marketing 
 ⁃ 4% Liquidity Pool
 ⁃ 12% rewards

PRIVATE SALE WILL OPEN BEFORE FRIDAY! 👩‍🚀🙌

**Chat: @ Intergalactic_ADA_rewards**"
1381144,"**Are YOU joining our journey to the Milkyway?** 🌌 

🔒LIQUIDITY LOCKED FOR 6 MONTHS🔒

Buy tax 12% 
 ⁃ 3% marketing 
 ⁃ 3% Liquidity Pool
 ⁃ 6% rewards 

Sell tax 22%
 ⁃ 6% marketing 
 ⁃ 4% Liquidity Pool
 ⁃ 12% rewards

PRIVATE SALE WILL OPEN BEFORE FRIDAY! 👩‍🚀🙌

**Chat: @ Intergalactic_ADA_rewards**"
1381143,"Hello good day maybe do you need .. 

Shiller team I have team can shill to 500 groups on telegram including Chinese community 

If your interested pls diem me"
1381142,"Buy iost: 

iost target: 0.15$ soon (3X) 🧨🧨🧨

iost target: 12 INR soon (3X) 🧨🧨🧨"
1381141,"**Are YOU joining our journey to the Milkyway?** 🌌 

🔒LIQUIDITY LOCKED FOR 6 MONTHS🔒

Buy tax 12% 
 ⁃ 3% marketing 
 ⁃ 3% Liquidity Pool
 ⁃ 6% rewards 

Sell tax 22%
 ⁃ 6% marketing 
 ⁃ 4% Liquidity Pool
 ⁃ 12% rewards

PRIVATE SALE WILL OPEN BEFORE FRIDAY! 👩‍🚀🙌

**Chat: @ Intergalactic_ADA_rewards**"
1381140,"CORNDOGE🚀🚀🚀

Going to do what DOGEBREAD did. 1.5 Mil incoming 

10% DOGE REWARDS🐶
5% MARKETING
2% LP 
4% max wallet 
1% Max tx 
30 second cooldown

LP LOCKED 🔒 
Doxxed dev -

@ corn_doge"
1381139,"**Are YOU joining our journey to the Milkyway?** 🌌 

🔒LIQUIDITY LOCKED FOR 6 MONTHS🔒

Buy tax 12% 
 ⁃ 3% marketing 
 ⁃ 3% Liquidity Pool
 ⁃ 6% rewards 

Sell tax 22%
 ⁃ 6% marketing 
 ⁃ 4% Liquidity Pool
 ⁃ 12% rewards

PRIVATE SALE WILL OPEN BEFORE FRIDAY! 👩‍🚀🙌

**Chat: @ Intergalactic_ADA_rewards**"
1381138,Intergalactic_ADA_rewards is very hype rn
1381137,"Hello good day maybe do you need .. 

Shiller team I have team can shill to 500 groups on telegram including Chinese community 

If your interested pls diem me"
